Date,Home Team,# of Home Team Wins,Away Team,# of Away Team Wins,Neutral
2025-03-02,East Carolina,8811,Charlotte,1189,H
2025-03-02,South Florida,3380,FL Atlantic,6620,H
2025-03-02,Hawaii,4806,UC Davis,5194,H
2025-03-02,Liberty,8672,Kennesaw,1328,H
2025-03-02,Canisius,2577,Iona,7423,H
2025-03-02,Marist,8907,St Peter's,1093,H
2025-03-02,Merrimack,5699,Quinnipiac,4301,H
2025-03-02,Mt St Mary's,6333,Siena,3667,H
2025-03-02,Sacred Heart,8210,Fairfield,1790,H
2025-03-02,Niagara,3867,Manhattan,6133,H
2025-03-03,Morgan St,5693,Delaware St,4307,H
2025-03-03,Northwestern,3853,UCLA,6147,H
2025-03-03,Duke,8494,Wake Forest,1506,H
2025-03-03,Houston,9305,Kansas,695,H
2025-03-03,North Texas,8551,Wichita St,1449,H
2025-03-03,S Carolina St,8550,Howard,1450,H
2025-03-03,NC Central,2249,Norfolk St,7751,H
2025-03-03,Portland St,9767,CS Sacramento,233,H
2025-03-03,Alcorn St,5788,TX Southern,4212,H
2025-03-03,Coppin St,7314,MD E Shore,2686,H
2025-03-03,Montana,8588,E Washington,1412,H
2025-03-03,Montana St,7894,Idaho,2106,H
2025-03-03,Idaho St,6454,Northern Arizona,3546,H
2025-03-03,Incarnate Word,6644,Northwestern LA,3356,H
2025-03-03,Jackson St,9390,Prairie View,610,H
2025-03-03,Lamar,7456,Nicholls St,2544,H
2025-03-03,SF Austin,2946,McNeese St,7054,H
2025-03-03,TAM C. Christi,9648,New Orleans,352,H
2025-03-03,Weber St,1945,N Colorado,8055,H
2025-03-03,Bethune-Cookman,7628,Grambling,2372,H
2025-03-03,UTRGV,3964,SE Louisiana,6036,H
2025-03-03,Florida A&M,4637,Southern Univ,5363,H
2025-03-03,East Texas A&M,4060,Houston Chr,5940,H
2025-03-04,Vermont,8011,SUNY Albany,1989,H
2025-03-04,Maine,7814,MA Lowell,2186,H
2025-03-04,Nevada,2979,New Mexico,7021,H
2025-03-04,Binghamton,8702,NJIT,1298,H
2025-03-04,Fresno St,4469,Wyoming,5531,H
2025-03-04,Bryant,9796,New Hampshire,204,H
2025-03-04,Dayton,8263,St Louis,1737,H
2025-03-04,Duquesne,2193,VCU,7807,H
2025-03-04,Colorado St,9417,San Jose St,583,H
2025-03-04,UNLV,3774,San Diego St,6226,H
2025-03-04,Air Force,650,Boise St,9350,H
2025-03-04,Purdue,9413,Rutgers,587,H
2025-03-04,Oregon,7194,Indiana,2806,H
2025-03-04,Ohio St,6311,Nebraska,3689,H
2025-03-04,Georgia Tech,8812,Miami FL,1188,H
2025-03-04,Virginia Tech,2416,North Carolina,7584,H
2025-03-04,Virginia,6609,Florida St,3391,H
2025-03-04,SMU,9070,Syracuse,930,H
2025-03-04,TCU,4650,Baylor,5350,H
2025-03-04,Utah,6421,West Virginia,3579,H
2025-03-04,Iowa St,7409,BYU,2591,H
2025-03-04,Arizona,9760,Arizona St,240,H
2025-03-04,Tulsa,4474,Temple,5526,H
2025-03-04,UT San Antonio,1327,Memphis,8673,H
2025-03-04,Ball St,6221,C Michigan,3779,H
2025-03-04,Buffalo,1409,Miami OH,8591,H
2025-03-04,Kentucky,8860,LSU,1140,H
2025-03-04,Mississippi St,8044,Texas,1956,H
2025-03-04,N Illinois,4891,Bowling Green,5109,H
2025-03-04,Ohio,7371,E Michigan,2629,H
2025-03-04,South Carolina,4697,Georgia,5303,H
2025-03-04,Texas A&M,3190,Auburn,6810,H
2025-03-04,Toledo,2968,Akron,7032,H
2025-03-04,Vanderbilt,6479,Arkansas,3521,H
2025-03-04,W Michigan,3404,Kent,6596,H
2025-03-04,Seton Hall,861,Creighton,9139,H
2025-03-04,Georgetown,4417,Villanova,5583,H
2025-03-05,St Joseph's PA,8030,Rhode Island,1970,H
2025-03-05,George Mason,9832,La Salle,168,H
2025-03-05,Fordham,3625,G Washington,6375,H
2025-03-05,Loyola-Chicago,8202,Davidson,1798,H
2025-03-05,USC,7943,Washington,2057,H
2025-03-05,Minnesota,2014,Wisconsin,7986,H
2025-03-05,Michigan,6511,Maryland,3489,H
2025-03-05,Alabama,6396,Florida,3604,H
2025-03-05,NC State,4018,Pittsburgh,5982,H
2025-03-05,Boston College,642,Clemson,9358,H
2025-03-05,St Bonaventure,8015,Massachusetts,1985,H
2025-03-05,Notre Dame,5588,Stanford,4412,H
2025-03-05,Louisville,9679,California,321,H
2025-03-05,UCF,6302,Oklahoma St,3698,H
2025-03-05,Cincinnati,6262,Kansas St,3738,H
2025-03-05,Texas Tech,9781,Colorado,219,H
2025-03-05,Mississippi,4585,Tennessee,5415,H
2025-03-05,Oklahoma,3954,Missouri,6046,H
2025-03-05,Connecticut,6490,Marquette,3510,H
2025-03-05,Butler,4500,Xavier,5500,H
2025-03-05,Providence,8601,DePaul,1399,H
2025-03-06,Howard,2846,Norfolk St,7154,H
2025-03-06,Grambling,7448,Alabama A&M,2552,H
2025-03-06,Iowa,2357,Michigan St,7643,H
2025-03-06,Rice,5066,Wichita St,4934,H
2025-03-06,North Texas,9737,Charlotte,263,H
2025-03-06,East Carolina,5996,Tulane,4004,H
2025-03-06,UAB,5767,FL Atlantic,4233,H
2025-03-06,S Carolina St,8962,NC Central,1038,H
2025-03-06,Abilene Chr,4462,Utah Valley,5538,H
2025-03-06,Cal Baptist,8417,Tarleton St,1583,H
2025-03-06,Grand Canyon,9784,Utah Tech,216,H
2025-03-06,Louisiana Tech,7350,New Mexico St,2650,H
2025-03-06,Manhattan,7922,Sacred Heart,2078,H
2025-03-06,Marist,6904,Merrimack,3096,H
2025-03-06,MTSU,4489,Liberty,5511,H
2025-03-06,Rider,9011,Canisius,989,H
2025-03-06,Sam Houston St,5396,UTEP,4604,H
2025-03-06,Siena,9108,Fairfield,892,H
2025-03-06,Southern Utah,3958,Seattle,6042,H
2025-03-06,UC San Diego,9966,Long Beach St,34,H
2025-03-06,WKU,8844,Florida Intl,1156,H
2025-03-06,Quinnipiac,8309,Mt St Mary's,1691,H
2025-03-06,CS Bakersfield,5986,Hawaii,4014,H
2025-03-06,Cal Poly,8975,CS Fullerton,1025,H
2025-03-06,MS Valley St,1354,Alcorn St,8646,H
2025-03-06,Coppin St,3216,Morgan St,6784,H
2025-03-06,Ark Pine Bluff,1280,Jackson St,8720,H
2025-03-06,Delaware St,9602,MD E Shore,398,H
2025-03-06,St Peter's,7205,Niagara,2795,H
2025-03-06,Southern Univ,8844,Alabama St,1156,H
2025-03-06,UC Davis,3080,UC Irvine,6920,H
2025-03-06,UC Riverside,5907,CS Northridge,4093,H
2025-03-07,VCU,8248,Dayton,1752,H
2025-03-07,Illinois,4762,Purdue,5238,H
2025-03-07,Memphis,9659,South Florida,341,H
2025-03-07,New Mexico,9316,UNLV,684,H
2025-03-07,Boise St,6364,Colorado St,3636,H
2025-03-07,Akron,9968,Buffalo,32,H
2025-03-07,Bowling Green,4914,W Michigan,5086,H
2025-03-07,C Michigan,9050,N Illinois,950,H
2025-03-07,Kent,8691,E Michigan,1309,H
2025-03-07,Miami OH,8490,Ball St,1510,H
2025-03-07,Toledo,6815,Ohio,3185,H
2025-03-08,Cornell,8950,Columbia,1050,H
2025-03-08,San Diego St,8465,Nevada,1535,H
2025-03-08,Prairie View,2670,TX Southern,7330,H
2025-03-08,Clemson,9877,Virginia Tech,123,H
2025-03-08,Notre Dame,6722,California,3278,H
2025-03-08,Louisville,9469,Stanford,531,H
2025-03-08,Richmond,1148,George Mason,8852,H
2025-03-08,Rhode Island,8193,Fordham,1807,H
2025-03-08,St Louis,7105,Duquesne,2895,H
2025-03-08,Davidson,5246,St Bonaventure,4754,H
2025-03-08,San Jose St,8452,Fresno St,1548,H
2025-03-08,Wisconsin,9791,Penn St,209,H
2025-03-08,UCLA,7858,USC,2142,H
2025-03-08,Maryland,9325,Northwestern,675,H
2025-03-08,Indiana,4476,Ohio St,5524,H
2025-03-08,Wake Forest,9034,Georgia Tech,966,H
2025-03-08,Massachusetts,4060,Loyola-Chicago,5940,H
2025-03-08,Miami FL,5279,NC State,4721,H
2025-03-08,La Salle,2142,St Joseph's PA,7858,H
2025-03-08,Pittsburgh,9147,Boston College,853,H
2025-03-08,North Carolina,2588,Duke,7412,H
2025-03-08,Syracuse,5199,Virginia,4801,H
2025-03-08,Oklahoma St,4463,Cincinnati,5537,H
2025-03-08,West Virginia,7982,UCF,2018,H
2025-03-08,Baylor,2846,Houston,7154,H
2025-03-08,Colorado,4104,TCU,5896,H
2025-03-08,Arizona St,1545,Texas Tech,8455,H
2025-03-08,Kansas St,4237,Iowa St,5763,H
2025-03-08,BYU,8544,Utah,1456,H
2025-03-08,Kansas,3885,Arizona,6115,H
2025-03-08,Grambling,5727,Alabama St,4273,H
2025-03-08,Florida St,4171,SMU,5829,H
2025-03-08,Abilene Chr,3802,Grand Canyon,6198,H
2025-03-08,Cal Baptist,7686,UT Arlington,2314,H
2025-03-08,Fairfield,1513,Quinnipiac,8487,H
2025-03-08,Iona,7524,Sacred Heart,2476,H
2025-03-08,Jacksonville St,7550,Kennesaw,2450,H
2025-03-08,Louisiana Tech,6799,UTEP,3201,H
2025-03-08,Manhattan,6632,Siena,3368,H
2025-03-08,MTSU,9490,Florida Intl,510,H
2025-03-08,Mt St Mary's,4997,Marist,5003,H
2025-03-08,Rider,7604,Niagara,2396,H
2025-03-08,Sam Houston St,6244,New Mexico St,3756,H
2025-03-08,St Peter's,8870,Canisius,1130,H
2025-03-08,Tarleton St,2892,Utah Valley,7108,H
2025-03-08,Utah Tech,4038,Seattle,5962,H
2025-03-08,WKU,2969,Liberty,7031,H
2025-03-08,Missouri,7620,Kentucky,2380,H
2025-03-08,LSU,2611,Texas A&M,7389,H
2025-03-08,Georgia,6374,Vanderbilt,3626,H
2025-03-08,Florida,8896,Mississippi,1104,H
2025-03-08,Auburn,7673,Alabama,2327,H
2025-03-08,Arkansas,4508,Mississippi St,5492,H
2025-03-08,Long Beach St,4351,Cal Poly,5649,H
2025-03-08,CS Fullerton,1247,UC Riverside,8753,H
2025-03-08,Ark Pine Bluff,1859,Alcorn St,8141,H
2025-03-08,Harvard,4779,Dartmouth,5221,H
2025-03-08,CS Northridge,9022,Hawaii,978,H
2025-03-08,MS Valley St,795,Jackson St,9205,H
2025-03-08,Princeton,8865,Penn,1135,H
2025-03-08,Bethune-Cookman,5891,Florida A&M,4109,H
2025-03-08,Southern Univ,9562,Alabama A&M,438,H
2025-03-08,Tennessee,9663,South Carolina,337,H
2025-03-08,Texas,6955,Oklahoma,3045,H
2025-03-08,UC Santa Barbara,3159,UC Irvine,6841,H
2025-03-08,UC Davis,2108,UC San Diego,7892,H
2025-03-08,Utah St,9956,Air Force,44,H
2025-03-08,Brown,2698,Yale,7302,H
2025-03-08,Creighton,9015,Butler,985,H
2025-03-08,Marquette,5049,St John's,4951,H
2025-03-08,Xavier,8204,Providence,1796,H
2025-03-08,Connecticut,9866,Seton Hall,134,H
2025-03-08,DePaul,4981,Georgetown,5019,H
2025-03-09,Temple,3464,North Texas,6536,H
2025-03-09,Tulane,5963,UAB,4037,H
2025-03-09,Wichita St,8714,Tulsa,1286,H
2025-03-09,Charlotte,5161,UT San Antonio,4839,H
2025-03-09,FL Atlantic,8178,East Carolina,1822,H
2025-03-09,Washington,4633,Oregon,5367,H
2025-03-09,Rutgers,5678,Minnesota,4322,H
2025-03-09,Nebraska,8355,Iowa,1645,H
2025-03-09,Michigan St,7096,Michigan,2904,H
