2024-11-04 @Oregon St                80  Utah Tech                57            
2024-11-04 @East Carolina            97  NC Wesleyan              70            
2024-11-04 @Texas St                 64  E Michigan               44            
2024-11-04 @Rhode Island             96  Fairfield                58            
2024-11-04 @Miami FL                113  F Dickinson              72            
2024-11-04  Florida                  98  South Florida            83           Jacksonville, FL 
2024-11-04 @St John's                92  Fordham                  60            
2024-11-04  Miami OH                 77 @Appalachian St           63            
2024-11-04 @George Mason             75  NC Central               58            
2024-11-04 @Hampton                 110  Mid-Atlantic Chr         53            
2024-11-04 @Missouri KC              91  Hannibal-Lagr            68            
2024-11-04 @Northern Arizona        100  Park-Gilbert             49            
2024-11-04 @Harvard                  79  Marist                   66            
2024-11-04 @Wisconsin                85  Holy Cross               61            
2024-11-04 @Idaho                    94  Northwest WA             60            
2024-11-04  TN Martin                67 @Illinois St              65            
2024-11-04  FL Atlantic              97  Indiana St               64           Xenia, OH 
2024-11-04 @James Madison            88  Ohio                     78            
2024-11-04 @UT Arlington             90  UNT Dallas               55            
2024-11-04 @Jacksonville St         112  LaGrange                 48            
2024-11-04  Columbia                 81 @Loyola MD                78            
2024-11-04 @Loyola-Chicago           79  Chicago St               72            
2024-11-04 @Dartmouth               129  NVU-Lyndon               47            
2024-11-04 @Vanderbilt              102  MD E Shore               63            
2024-11-04 @Belmont                  93  Maryville TN             70            
2024-11-04 @G Washington             76  Mercyhurst               59            
2024-11-04 @Memphis                  83  Missouri                 75            
2024-11-04 @Georgia St               71  Ball St                  66            
2024-11-04 @Michigan St              81  Monmouth NJ              57            
2024-11-04 @UNC Wilmington          143  Mt Olive                 91            
2024-11-04 @Mt St Mary's             98  Notre Dame MD            62            
2024-11-04 @NE Omaha                 85  Mid-Am Chr               69            
2024-11-04 @UNLV                     93  Alabama St               79            
2024-11-04 @New Mexico St            93  NM Highlands             57            
2024-11-04 @ETSU                     72  Newberry                 51            
2024-11-04 @N Dakota St              96  Jamestown                59            
2024-11-04 @Florida St               74  N Kentucky               62            
2024-11-04 @Oakland                  75  Defiance                 52            
2024-11-04 @MTSU                     97  Oglethorpe               51            
2024-11-04  Penn                     58 @NJIT                     57            
2024-11-04 @Pittsburgh               96  Radford                  56            
2024-11-04 @Washington St           100  Portland St              92            
2024-11-04 @Providence               59  Central Conn             55            
2024-11-04 @Yale                     88  Quinnipiac               62            
2024-11-04 @MA Lowell               115  Rivier                   59            
2024-11-04 @Temple                   81  Sacred Heart             70            
2024-11-04  Santa Clara              85  St Louis                 78           Sioux Falls, SD 
2024-11-04 @St Mary's CA             76  Towson                   69            
2024-11-04 @Penn St                 108  Binghamton               66            
2024-11-04 @UC Santa Barbara         96  S Francisco St           47            
2024-11-04 @NC State                 97  SC Upstate               66            
2024-11-04 @SE Louisiana             91  Wm Carey                 53            
2024-11-04 @South Dakota             93  Southern Univ            79            
2024-11-04 @Stonehill                81  Framingham St            62            
2024-11-04 @UTEP                    102  Sul Ross                 55            
2024-11-04 @PFW                      99  Bluffton                 47            
2024-11-04 @Tennessee                80  Gardner Webb             64            
2024-11-04 @Georgia                  83  Tennessee Tech           78            
2024-11-04  Ohio St                  80  Texas                    72           Las Vegas, NV 
2024-11-04  Northeastern             80 @Boston Univ              72            
2024-11-04 @Troy                     84  Toledo                   74            
2024-11-04 @Austin Peay              95  Union TN                 75            
2024-11-04 @Bradley                  88  SE Missouri St           60            
2024-11-04  Liberty                  83  Valparaiso               63           Xenia, OH 
2024-11-04 @Villanova                75  Lafayette                63            
2024-11-04 @VMI                     103  Washington MD            54            
2024-11-04 @W Carolina              100  Bob Jones                61            
2024-11-04  Wichita St               91 @WKU                      84            
2024-11-04 @William & Mary           84  Dickinson                36            
2024-11-04 @Oklahoma St              89  WI Green Bay             76            
2024-11-04 @Wofford                 112  Erskine                  58            
2024-11-04  Buffalo                  83 @Old Dominion             82            
2024-11-04 @N Colorado               75  Colorado Col             55            
2024-11-04 @California               86  CS Bakersfield           73            
2024-11-04 @Winthrop                125  Piedmont                 65            
2024-11-04 @Alabama                 110  UNC Asheville            54            
2024-11-04 @Massachusetts           103  New Hampshire            74            
2024-11-04 @UT San Antonio          103  Trinity TX               77            
2024-11-04 @Northern Iowa            96  Dubuque                  54            
2024-11-04 @WI Milwaukee            118  Lakeland                 62            
2024-11-04 @Xavier                   78  TX Southern              69            
2024-11-04 @Seton Hall               57  St Peter's               53            
2024-11-04 @Marquette               102  Stony Brook              62            
2024-11-04 @DePaul                   80  Southern Indiana         78 O1         
2024-11-04 @Northwestern             90  Lehigh                   46            
2024-11-04 @Iowa                     89  East Texas A&M           67            
2024-11-04 @UCF                      64  Texas A&M                61            
2024-11-04 @Mississippi              90  LIU Brooklyn             60            
2024-11-04 @Mississippi St           95  West Georgia             60            
2024-11-04 @Kentucky                103  Wright St                62            
2024-11-04  S Dakota St              80  McNeese St               73           Sioux Falls, SD 
2024-11-04 @St Bonaventure           70  CS Northridge            56            
2024-11-05 @San Francisco            86  Cal Poly                 78            
2024-11-05 @Rice                     77  Florida Intl             70            
2024-11-05 @BYU                      88  Cent Arkansas            50            
2024-11-05 @Kansas St                89  New Orleans              65            
2024-11-05 @Kennesaw                110  Toccoa Falls             61            
2024-11-05 @CS Sacramento           106  Cal Maritime             44            
2024-11-05 @Colgate                  95  SUNY Canton              62            
2024-11-05 @North Texas              80  Evansville               63            
2024-11-05 @Arizona St               55  Idaho St                 48            
2024-11-05 @Texas Tech               94  Bethune-Cookman          61            
2024-11-05 @Washington               79  UC Davis                 73            
2024-11-06 @Appalachian St          108  St Andrew's              54            
2024-11-06 @TX Southern             100  Texas A&M-SA             66            
2024-11-06 @Presbyterian            120  Carolina Chr             45            
2024-11-06 @Cleveland St             91  Baldwin-Wallace          53            
2024-11-06  CS Northridge            97 @Le Moyne                 75            
2024-11-06 @Maine                    98  ME Ft Kent               47            
2024-11-06 @Pepperdine               77  W Illinois               64            
2024-11-06 @Portland                 83  Lewis & Clark            70            
2024-11-06 @Wright St                89  Ohio Chr                 60            
2024-11-06 @San Diego St             63  UC San Diego             58            
2024-11-06 @New Hampshire            99  MA Boston                69            
2024-11-06 @South Dakota             91  East Texas A&M           83            
2024-11-06 @Ark Pine Bluff           99  Champion Bap             57            
2024-11-06 @Arkansas                 76  Lipscomb                 60            
2024-11-06 @Indiana                  80  SIUE                     61            
2024-11-06  Rider                    68 @San Diego                67            
2024-11-06 @Virginia                 65  Campbell                 56            
2024-11-06 @Norfolk St              104  VA-Lynchburg             60            
2024-11-06 @Utah St                 101  Alcorn St                46            
2024-11-06 @High Point               93  Coppin St                51            
2024-11-06 @Creighton                99  UTRGV                    86            
2024-11-06 @E Illinois               97  Earlham                  61            
2024-11-06 @E Washington             93  Seattle                  86            
2024-11-06 @Georgetown               85  Lehigh                   77            
2024-11-06  Mercyhurst               78 @Morgan St                73            
2024-11-06 @Richmond                101  Mt Olive                 68            
2024-11-06 @Boise St                 87  Oakland                  43            
2024-11-06 @Rutgers                  75  Wagner                   52            
2024-11-06 @Connecticut              92  Sacred Heart             56            
2024-11-06 @Morehead St              89  Boyce                    48            
2024-11-06 @SC Upstate              103  Piedmont                 70            
2024-11-06 @Notre Dame               89  Stonehill                60            
2024-11-06  Columbia                 90 @Villanova                80            
2024-11-06 @Georgia Tech             85  West Georgia             62            
2024-11-06 @Minnesota                80  Oral Roberts             57            
2024-11-06 @LSU                      95  ULM                      60            
2024-11-06 @Auburn                   94  Vermont                  43            
2024-11-07 @McNeese St              111  CBS-Houston              57            
2024-11-07 @Citadel                  86  Erskine                  56            
2024-11-07 @Air Force                73  Jacksonville St          67            
2024-11-07  Bucknell                 75 @Southern Indiana         69 O1         
2024-11-07  Stony Brook              73 @C Michigan               72            
2024-11-07 @Alabama A&M             121  Oakwood                  78            
2024-11-07 @W Michigan               86  Davenport                46            
2024-11-07 @UAB                      98  Southern Miss            84            
2024-11-07 @CS Bakersfield          122  Bethesda                 53            
2024-11-07 @Tennessee Tech           89  Bryan                    74            
2024-11-07 @North Texas              80  Wayland                  38            
2024-11-07 @Michigan St              96  Niagara                  60            
2024-11-07 @North Florida            90  Charleston So            66            
2024-11-07 @SMU                     102  Florida A&M              73            
2024-11-07 @Wake Forest              80  NC A&T                   64            
2024-11-07  NE Omaha                 79 @Stetson                  76            
2024-11-07 @North Alabama            94  Point                    58            
2024-11-07 @N Illinois              105  Holy Cross IN            37            
2024-11-07 @TN Martin               114  Kentucky Chr             61            
2024-11-07 @Lindenwood               98  UHSP                     30            
2024-11-07 @Mercer                  125  VA-Lynchburg             54            
2024-11-07 @Utah                     98  Cent Arkansas            63            
2024-11-07 @Loyola-Chicago           87  Detroit                  65            
2024-11-07 @F Dickinson             112  Purchase                 72            
2024-11-07 @Florida                  81  Jacksonville             60            
2024-11-07  UC Davis                 79 @Idaho                    75            
2024-11-07 @USC                      75  Idaho St                 69            
2024-11-07  Illinois St              77 @N Dakota St              68            
2024-11-07 @Indiana St               93  Eureka                   48            
2024-11-07 @Penn                     85  MD E Shore               84            
2024-11-07 @MS Valley St             66  MS Women                 49            
2024-11-07 @Wisconsin                79  Montana St               67            
2024-11-07 @Portland St             131  Evergreen St             84            
2024-11-07 @Quinnipiac               71  Worcester Tech           47            
2024-11-07 @Delaware                 81  Robert Morris            77            
2024-11-07 @St Mary's CA             86  Chattanooga              74            
2024-11-07 @Binghamton               82  SUNY Oneonta             63            
2024-11-07 @Iowa                     89  Southern Univ            74            
2024-11-07 @Louisiana                82  UT Dallas                65            
2024-11-07 @California               91  Cal Poly                 73            
2024-11-07 @Northern Iowa            87  WI Milwaukee             68            
2024-11-07 @DePaul                   92  Prairie View             59            
2024-11-08 @Mississippi St          101  Georgia St               66            
2024-11-08 @Oregon St                76  Weber St                 48            
2024-11-08 @NC State                 81  Presbyterian             72            
2024-11-08  Siena                    90 @Bryant                   88 O1         
2024-11-08 @TAM C. Christi           87  Dallas Chr               36            
2024-11-08 @Cornell                  88  Samford                  86            
2024-11-08 @Kent                     98  Miami-Hamilton           53            
2024-11-08 @MA Lowell                81  St Peter's               74            
2024-11-08 @Texas St                102  McMurry                  62            
2024-11-08  South Alabama            70 @Nicholls St              64            
2024-11-08 @Colorado St              87  Tennessee St             79 O1         
2024-11-08  Princeton                75  Duquesne                 68           Trenton, NJ 
2024-11-08  Davidson                 91 @Bowling Green            85            
2024-11-08  UC Irvine                66 @Loy Marymount            51            
2024-11-08 @Akron                    88  Ohio Wesleyan            57            
2024-11-08 @Oregon                   79  Montana                  48            
2024-11-08  Gardner Webb             88 @NC Central               82            
2024-11-08 @S Illinois               86  Missouri S&T             64            
2024-11-08 @Oral Roberts            105  Ozark Chr                49            
2024-11-08 @Missouri KC             124  Kansas Chr               36            
2024-11-08 @Hawaii                   96  Life Pacific             61            
2024-11-08  Temple                  103  Monmouth NJ              74           Trenton, NJ 
2024-11-08 @Northern Arizona        115  Nelson AIC               67            
2024-11-08 @BYU                      86  UC Riverside             80            
2024-11-08  Austin Peay              68 @Butler                   66            
2024-11-08 @Colorado                 90  N Colorado               88 O2         
2024-11-08 @Duke                    100  Army                     58            
2024-11-08  E Kentucky               82 @ETSU                     78            
2024-11-08 @Hofstra                  90  Iona                     76            
2024-11-08 @Illinois                 90  SIUE                     58            
2024-11-08 @Kansas                   92  North Carolina           89            
2024-11-08 @Maryland                 86  Mt St Mary's             52            
2024-11-08  New Mexico               72  UCLA                     64           Henderson, NV 
2024-11-08 @Purdue                   72  N Kentucky               50            
2024-11-08  Central Conn             73 @St Joseph's PA           67            
2024-11-08 @S Dakota St              80  Long Beach St            79            
2024-11-08 @TCU                      67  FGCU                     51            
2024-11-08 @Virginia Tech            93  SC Upstate               74            
2024-11-08 @West Virginia            75  Massachusetts            69            
2024-11-08  VCU                      80  Boston College           55           Annapolis, MD 
